Folder,Apex Frame,Dip_Time_s,Offset_ms,Confidence,IMU_Dip_Time_s,IMU_Offset_ms,IMU_Confidence,IMU_Start_Time,GoPro_Start_Time,IMU_Trim_Start_Time
Arya_Aframe_1,0,,,,,,,2023:04:01 11:34:48,2023:04:01 14:34:43 -04:00,2023:04:01 11:34:48
Arya_Aframe_2,1183,7.929,2999.8,1.0,8.1473,3218.1,1.0,2023:04:01 11:35:13,2023:04:01 14:35:12 -04:00,2023:04:01 11:35:13
Arya_Aframe_3,1089,7.4341,2896.6,1.0,5.6404,1102.9,1.0,2023:04:01 11:35:43,2023:04:01 14:35:42 -04:00,2023:04:01 11:35:43
Arya_Aframe_4,993,8.96,4822.5,1.0,9.0039,4866.4,1.0,2023:04:01 11:36:09,2023:04:01 14:36:06 -04:00,2023:04:01 11:36:09
Cayenne_Aframe_1,1997,18.3633,10042.5,1.0,18.3514,10030.6,1.0,2023:04:02 08:08:12,2023:04:02 11:08:07 -04:00,2023:04:02 08:08:16
Cayenne_Aframe_2,1588,8.1215,1504.8,1.0,8.1309,1514.2,1.0,2023:04:02 08:08:56,2023:04:02 11:08:53 -04:00,2023:04:02 08:09:06
Cayenne_Aframe_3,1698,10.973,3898.0,1.0,10.4691,3394.1,1.0,2023:04:02 08:09:27,2023:04:02 11:09:27 -04:00,2023:04:02 08:09:39
Cayenne_Aframe_4,1489,8.3546,2150.5,1.0,7.8874,1683.3,1.0,2023:04:02 08:10:02,2023:04:02 11:09:58 -04:00,2023:04:02 08:10:12
Chester_Aframe_1,1222,7.4849,2393.3,1.0,13.1994,8107.8,1.0,2023:04:02 12:06:13,2023:04:02 15:06:16 -04:00,2023:04:02 12:06:15
Chester_Aframe_2,1411,9.2843,3405.1,1.0,8.8381,2959.0,0.889,2023:04:02 12:06:42,2023:04:02 15:06:43 -04:00,2023:04:02 12:06:43
Chester_Aframe_3,1349,7.7207,2099.8,1.0,13.8491,8228.3,1.0,2023:04:02 12:07:14,2023:04:02 15:07:16 -04:00,2023:04:02 12:07:17
Chester_Aframe_4,1200,6.2696,1269.6,1.0,11.809,6809.0,1.0,2023:04:02 12:07:44,2023:04:02 15:07:42 -04:00,2023:04:02 12:07:48
Delta_Aframe_1,1551,11.1194,4656.9,1.0,13.2896,6827.1,1.0,2023:04:01 10:11:08,2023:04:01 13:11:06 -04:00,2023:04:01 10:11:11
Delta_Aframe_2,1774,16.2675,8875.9,1.0,16.4,9008.4,1.0,2023:04:01 10:11:43,2023:04:01 13:11:38 -04:00,2023:04:01 10:11:43
Delta_Aframe_3,1693,12.3438,5289.6,1.0,11.7235,4669.3,1.0,2023:04:01 10:12:21,2023:04:01 13:12:18 -04:00,2023:04:01 10:12:23
Delta_Aframe_4,1505,13.6056,7334.8,1.0,13.0266,6755.7,1.0,2023:04:01 10:12:52,2023:04:01 13:12:49 -04:00,2023:04:01 10:12:53
Derby_Aframe_1,770,6.3862,3177.8,1.0,6.9079,3699.5,1.0,2023:04:01 14:05:12,2023:04:01 17:05:13 -04:00,2023:04:01 14:05:14
Derby_Aframe_2,698,4.7677,1859.4,1.0,5.2902,2381.9,1.0,2023:04:01 14:05:51,2023:04:01 17:05:46 -04:00,2023:04:01 14:05:55
Derby_Aframe_3,796,6.879,3562.4,1.0,7.3839,4067.3,1.0,2023:04:01 14:06:14,2023:04:01 17:06:15 -04:00,2023:04:01 14:06:15
Derby_Aframe_4,1249,8.3147,3110.6,1.0,9.0886,3884.4,1.0,2023:04:01 14:06:37,2023:04:01 17:06:37 -04:00,2023:04:01 14:06:37
Dolphin_Aframe_1,1192,10.9665,5999.8,1.0,9.7622,4795.5,1.0,2023:04:02 12:17:05,2023:04:02 15:17:03 -04:00,2023:04:02 12:17:09
Dolphin_Aframe_2,1197,6.8891,1901.6,1.0,5.9361,948.6,1.0,2023:04:02 12:17:33,2023:04:02 15:17:30 -04:00,2023:04:02 12:17:41
Dolphin_Aframe_3,1297,6.424,1019.9,1.0,5.8077,403.5,0.935,2023:04:02 12:18:03,2023:04:02 15:17:53 -04:00,2023:04:02 12:18:12
Dolphin_Aframe_4,1298,6.3082,899.9,1.0,5.0069,-401.5,1.0,2023:04:02 12:18:26,2023:04:02 15:18:26 -04:00,2023:04:02 12:18:35
Goose_Aframe_1,1593,11.6991,5061.6,1.0,11.9522,5314.7,1.0,2023:04:02 11:41:39,2023:04:02 14:41:39 -04:00,2023:04:02 11:41:42
Goose_Aframe_2,1446,11.0477,5022.7,1.0,11.326,5301.0,1.0,2023:04:02 11:42:07,2023:04:02 14:42:09 -04:00,2023:04:02 11:42:10
Goose_Aframe_3,1596,9.737,3087.0,1.0,9.4877,2837.7,1.0,2023:04:02 11:42:39,2023:04:02 14:42:39 -04:00,2023:04:02 11:42:44
Goose_Aframe_4,1610,15.2752,8566.9,1.0,14.1855,7477.2,1.0,2023:04:02 11:43:05,2023:04:02 14:43:08 -04:00,2023:04:02 11:43:05
Izzy_Aframe_1,1030,9.552,5260.3,1.0,9.6443,5352.6,1.0,2023:04:01 13:55:11,2023:04:01 16:55:15 -04:00,2023:04:01 13:55:13
Izzy_Aframe_2,1120,9.0018,4335.1,1.0,9.7858,5119.1,1.0,2023:04:01 13:55:40,2023:04:01 16:55:38 -04:00,2023:04:01 13:55:42
Izzy_Aframe_3,936,8.8353,4935.3,1.0,8.8227,4922.7,1.0,2023:04:01 13:56:04,2023:04:01 16:56:04 -04:00,2023:04:01 13:56:06
Izzy_Aframe_4,827,8.6779,5232.1,1.0,9.3878,5942.0,1.0,2023:04:01 13:56:29,2023:04:01 16:56:27 -04:00,2023:04:01 13:56:32
Jyn_Aframe_1,1570,12.365,5823.3,1.0,12.5807,6039.0,1.0,2023:04:01 10:19:59,2023:04:01 13:19:58 -04:00,2023:04:01 10:20:02
Jyn_Aframe_2,1685,7.1602,139.3,1.0,7.4409,420.1,1.0,2023:04:01 10:20:33,2023:04:01 13:20:31 -04:00,2023:04:01 10:20:41
Jyn_Aframe_3,1599,10.502,3839.5,1.0,12.4941,5831.6,1.0,2023:04:01 10:21:01,2023:04:01 13:21:02 -04:00,2023:04:01 10:21:05
Jyn_Aframe_4,1395,10.9913,5178.8,1.0,11.2436,5431.1,1.0,2023:04:01 10:21:31,2023:04:01 13:21:32 -04:00,2023:04:01 10:21:35
Kahlua_Aframe_1,955,9.9954,6016.2,1.0,9.4512,5472.1,1.0,2023:04:01 13:19:37,2023:04:01 16:19:20 -04:00,2023:04:01 13:19:39
Kahlua_Aframe_2,960,4.8697,869.7,1.0,4.0966,96.6,1.0,2023:04:01 13:20:14,2023:04:01 16:20:02 -04:00,2023:04:01 13:20:22
Kahlua_Aframe_3,847,4.0026,473.4,1.0,3.1873,-341.8,1.0,2023:04:01 13:20:43,2023:04:01 16:20:39 -04:00,2023:04:01 13:20:51
Kahlua_Aframe_4,897,5.6246,1887.1,1.0,4.495,757.5,1.0,2023:04:01 13:21:01,2023:04:01 16:21:01 -04:00,2023:04:01 13:21:08
Nico_Aframe_1,823,12.1495,8720.4,1.0,12.4623,9033.1,1.0,2023:04:02 11:54:51,2023:04:02 14:54:55 -04:00,2023:04:02 11:54:54
Nico_Aframe_2,613,4.6437,2089.5,1.0,4.0999,1545.7,1.0,2023:04:02 11:55:23,2023:04:02 14:55:25 -04:00,2023:04:02 11:55:31
Nico_Aframe_3,814,9.6229,6231.2,1.0,8.7838,5392.2,1.0,2023:04:02 11:55:52,2023:04:02 14:55:50 -04:00,2023:04:02 11:55:58
Nico_Aframe_4,725,12.4259,9405.1,1.0,11.3994,8378.6,1.0,2023:04:02 11:56:25,2023:04:02 14:56:21 -04:00,2023:04:02 11:56:29
Noodle_Aframe_1,1197,27.9626,22975.1,1.0,27.335,22347.5,0.932,2023:04:02 09:11:37,2023:04:02 12:12:01 -04:00,2023:04:02 09:11:40
Noodle_Aframe_2,1097,7.6149,3044.1,1.0,7.0523,2481.5,1.0,2023:04:02 09:12:28,2023:04:02 12:12:21 -04:00,2023:04:02 09:12:38
Noodle_Aframe_3,1097,6.2733,1702.5,1.0,5.116,545.2,1.0,2023:04:02 09:12:55,2023:04:02 12:12:57 -04:00,2023:04:02 09:13:04
Noodle_Aframe_4,1197,7.9598,2972.3,1.0,7.1724,2184.9,0.852,2023:04:02 09:13:21,2023:04:02 12:13:23 -04:00,2023:04:02 09:13:31
Pizza_Aframe_1,1290,7.9581,2583.1,1.0,7.4012,2026.2,1.0,2023:04:02 08:48:53,2023:04:02 11:48:53 -04:00,2023:04:02 08:48:56
Pizza_Aframe_2,1290,7.4149,2039.9,1.0,6.4987,1123.7,1.0,2023:04:02 08:49:18,2023:04:02 11:49:17 -04:00,2023:04:02 08:49:21
Pizza_Aframe_3,1198,12.7296,7737.9,1.0,11.9347,6943.0,1.0,2023:04:02 08:49:41,2023:04:02 11:49:50 -04:00,2023:04:02 08:49:41
Pizza_Aframe_4,1298,7.8859,2477.5,1.0,7.9997,2591.4,1.0,2023:04:02 08:50:11,2023:04:02 11:50:08 -04:00,2023:04:02 08:50:14
Raina_Aframe_1,1598,21.4614,14803.0,1.0,23.7671,17108.8,1.0,2023:04:01 09:53:30,2023:04:01 12:53:32 -04:00,2023:04:01 09:53:34
Raina_Aframe_2,1498,12.1736,5932.0,1.0,12.2144,5972.8,1.0,2023:04:01 09:54:10,2023:04:01 12:54:10 -04:00,2023:04:01 09:54:24
Raina_Aframe_3,1598,15.9641,9305.8,1.0,16.8338,10175.5,1.0,2023:04:01 09:54:40,2023:04:01 12:54:40 -04:00,2023:04:01 09:54:50
Raina_Aframe_4,1498,10.7488,4507.2,1.0,11.128,4886.3,1.0,2023:04:01 09:55:20,2023:04:01 12:55:13 -04:00,2023:04:01 09:55:34
Revv_Aframe_1,998,4.4058,247.5,1.0,3.8489,-309.5,1.0,2023:04:02 08:23:13,2023:04:02 11:23:11 -04:00,2023:04:02 08:23:16
Revv_Aframe_2,998,153.4416,149283.2,1.0,151.4805,147322.2,1.0,2023:04:02 08:23:32,2023:04:02 11:23:34 -04:00,2023:04:02 08:23:32
Revv_Aframe_3,998,8.919,4760.6,1.0,9.2437,5085.4,1.0,2023:04:02 08:24:00,2023:04:02 11:24:00 -04:00,2023:04:02 08:24:00
Revv_Aframe_4,898,13.5296,9787.9,1.0,13.7503,10008.6,1.0,2023:04:02 08:24:26,2023:04:02 11:24:24 -04:00,2023:04:02 08:24:26
Rockett_Aframe_1,1215,7.5916,2529.1,1.0,7.9471,2884.6,1.0,2023:04:01 13:29:54,2023:04:01 16:29:52 -04:00,2023:04:01 13:29:56
Rockett_Aframe_2,1098,10.0863,5511.3,1.0,9.7832,5208.2,1.0,2023:04:01 13:30:19,2023:04:01 16:30:17 -04:00,2023:04:01 13:30:19
Rockett_Aframe_3,998,4.1668,8.5,1.0,5.1905,1032.2,1.0,2023:04:01 13:30:49,2023:04:01 16:30:45 -04:00,2023:04:01 13:30:54
Rockett_Aframe_4,998,8.9229,4764.5,1.0,9.0401,4881.7,1.0,2023:04:01 13:31:08,2023:04:01 16:31:09 -04:00,2023:04:01 13:31:08
Rumchata_Aframe_1,898,4.9354,1193.7,1.0,9.5204,5778.7,1.0,2023:04:01 13:43:06,2023:04:01 16:43:03 -04:00,2023:04:01 13:43:07
Rumchata_Aframe_2,898,5.7146,1972.9,1.0,4.9842,1242.5,1.0,2023:04:01 13:43:46,2023:04:01 16:43:46 -04:00,2023:04:01 13:43:47
Rumchata_Aframe_3,898,5.611,1869.4,1.0,5.9877,2246.0,1.0,2023:04:01 13:44:11,2023:04:01 16:44:12 -04:00,2023:04:01 13:44:12
