Rep,IMU_Start_Time,GoPro_Start_Time
Arya_Aframe_1,1680374088.132941,2023:04:01 14:34:43 -04:00
Arya_Aframe_2,1680374113.392842,2023:04:01 14:35:12 -04:00
Arya_Aframe_3,1680374143.495876,2023:04:01 14:35:42 -04:00
Arya_Aframe_4,1680374169.240715,2023:04:01 14:36:06 -04:00
Cayenne_Aframe_1,1680448092.835079,2023:04:02 11:08:07 -04:00
Cayenne_Aframe_2,1680448136.621669,2023:04:02 11:08:53 -04:00
Cayenne_Aframe_3,1680448167.178823,2023:04:02 11:09:27 -04:00
Cayenne_Aframe_4,1680448202.5637262,2023:04:02 11:09:58 -04:00
Chester_Aframe_1,1680462373.8032541,2023:04:02 15:06:16 -04:00
Chester_Aframe_2,1680462402.838101,2023:04:02 15:06:43 -04:00
Chester_Aframe_3,1680462434.419963,2023:04:02 15:07:16 -04:00
Chester_Aframe_4,1680462464.266111,2023:04:02 15:07:42 -04:00
Delta_Aframe_1,1680369068.9681652,2023:04:01 13:11:06 -04:00
Delta_Aframe_2,1680369103.490518,2023:04:01 13:11:38 -04:00
Delta_Aframe_3,1680369141.369128,2023:04:01 13:12:18 -04:00
Delta_Aframe_4,1680369172.20192,2023:04:01 13:12:49 -04:00
Derby_Aframe_1,1680383112.264255,2023:04:01 17:05:13 -04:00
Derby_Aframe_2,1680383151.41627,2023:04:01 17:05:46 -04:00
Derby_Aframe_3,1680383174.134283,2023:04:01 17:06:15 -04:00
Derby_Aframe_4,1680383197.773396,2023:04:01 17:06:37 -04:00
Dolphin_Aframe_1,1680463025.320292,2023:04:02 15:17:03 -04:00
Dolphin_Aframe_2,1680463053.166806,2023:04:02 15:17:30 -04:00
Dolphin_Aframe_3,1680463083.341007,2023:04:02 15:17:53 -04:00
Dolphin_Aframe_4,1680463106.388809,2023:04:02 15:18:26 -04:00
Goose_Aframe_1,1680460899.565384,2023:04:02 14:41:39 -04:00
Goose_Aframe_2,1680460927.652459,2023:04:02 14:42:09 -04:00
Goose_Aframe_3,1680460959.259994,2023:04:02 14:42:39 -04:00
Goose_Aframe_4,1680460985.9383428,2023:04:02 14:43:08 -04:00
Izzy_Aframe_1,1680382511.461069,2023:04:01 16:55:15 -04:00
Izzy_Aframe_2,1680382540.498118,2023:04:01 16:55:38 -04:00
Izzy_Aframe_3,1680382564.2757142,2023:04:01 16:56:04 -04:00
Izzy_Aframe_4,1680382589.28829,2023:04:01 16:56:27 -04:00
Jyn_Aframe_1,1680369599.180275,2023:04:01 13:19:58 -04:00
Jyn_Aframe_2,1680369633.13469,2023:04:01 13:20:31 -04:00
Jyn_Aframe_3,1680369661.725054,2023:04:01 13:21:02 -04:00
Jyn_Aframe_4,1680369691.66407,2023:04:01 13:21:32 -04:00
Kahlua_Aframe_1,1680380377.50982,2023:04:01 16:19:20 -04:00
