Folder,Motion_Onset_Frame,Video_Onset_Time_ms,Offset_ms,Confidence,Trim_Offset_s,IMU_Peak_Time_s,IMU_Offset_ms,IMU_Confidence,IMU_Start_Time,GoPro_Start_Time,IMU_Trim_Start_Time,GT_Offset_ms,Error_ms
Aeros_Flat_1,268,1116.667,20745.1,1.0,21.8618,,,,,,,,
Aeros_Flat_2,460,1916.667,6888.2,1.0,8.8049,,,,,,,,
Aeros_Flat_3,1430,5958.333,4395.8,1.0,10.3541,,,,,,,,
Aeros_Flat_4,990,4125.0,3010.3,1.0,7.1353,,,,,,,,
Aeros_Flat_5,1270,5291.667,1023.1,1.0,6.3148,,,,,,,,
Aeros_Flat_6,640,2666.667,3613.3,1.0,6.28,,,,,,,,
Aeros_Flat_7,760,3166.667,3184.8,1.0,6.3515,,,,,,,,
Arya_Flat_1,1240,5166.667,25485.4,1.0,30.6521,,,,,,,,
Arya_Flat_2,1400,5833.333,7332.0,1.0,13.1653,,,,,,,,
Arya_Flat_3,1255,5229.167,6655.6,1.0,11.8848,,,,,,,,
Arya_Flat_4,1346,5608.333,6353.8,1.0,11.9621,,,,,,,,
Arya_Flat_5,1170,4875.0,1616.4,1.0,6.4914,,,,,,,,
Arya_Flat_6,1315,5479.167,-311.7,1.0,5.1675,,,,,,,,
Cayenne_Flat_1,2680,11166.667,28823.9,1.0,39.9906,,,,,,,,
Cayenne_Flat_2,1120,4666.667,11396.7,1.0,16.0634,,,,,,,,
Cayenne_Flat_3,1600,6666.667,855.2,1.0,7.5219,,,,,,,,
Cayenne_Flat_4,1880,7833.333,1331.7,1.0,9.165,,,,,,,,
Cayenne_Flat_5,1445,6020.833,769.8,1.0,6.7906,,,,,,,,
Cayenne_Flat_6,1375,5729.167,866.7,1.0,6.5959,,,,,,,,
Chester_Flat_1,1350,5625.0,4893.4,1.0,10.5184,,,,,,,,
Chester_Flat_2,1418,5908.333,683.4,1.0,6.5917,,,,,,,,
Chester_Flat_3,1527,6362.5,1124.6,1.0,7.4871,,,,,,,,
Chester_Flat_4,1478,6158.333,,1.0,,,,,,,,,
Chester_Flat_5,1527,6362.5,4430.7,1.0,10.7932,,,,,,,,
Chester_Flat_6,1347,5612.5,1827.3,1.0,7.4398,,,,,,,,
Delta_Flat_1,1762,7341.667,3950.4,1.0,11.2921,,,,,,,,
Delta_Flat_2,2254,9391.667,16163.1,1.0,25.5548,,,,,,,,
Delta_Flat_3,2655,11062.5,-1408.0,1.0,9.6545,,,,,,,,
Delta_Flat_4,2665,11104.167,4128.6,1.0,15.2328,,,,,,,,
Delta_Flat_5,2421,10087.5,2040.3,1.0,12.1278,,,,,,,,
