Folder,Launch_Frame,Midair_Frame,First_Contact_Frame,Gathered_Frame,Launch_IMU,Midair_IMU,First_Contact_IMU,Gathered_IMU,Best_Offset_ms,Ground_Truth_Offset_ms,Error_vs_GT_ms
Aeros_Jump_1,1555,1576,1624,1648,232,278,282,292,7325.215,,
Aeros_Jump_2,4677,4738,4790,4822,244,286,292,302,1370.153,,
Aeros_Jump_5,1460,1496,1530,1552,244,277,295,305,9253.096,,
Aeros_Jump_6,1382,1410,1440,1462,252,297,301,311,4443.785,,
Aeros_Jump_7,1360,1394,1432,1456,266,354,399,452,2057.526,,
Arya_Jump_1,1640,1690,1735,1750,134,164,170,178,2513.872,,
Arya_Jump_2,1660,1685,1750,1760,135,163,168,177,6023.268,,
Arya_Jump_3,1636,1684,1729,1744,130,158,164,172,6350.142,,
Arya_Jump_4,1592,1628,1685,1698,405,420,451,453,4554.443,,
Arya_Jump_5,1565,1590,1610,1630,134,164,169,178,2123.2,,
Arya_Jump_6,1596,1638,1687,1702,439,462,469,473,5274.316,,
Cayenne_Jump_1,1334,1358,1374,1392,93,119,136,145,-267.888,,
Cayenne_Jump_2,1236,1260,1276,1296,117,150,161,172,1595.667,,
Cayenne_Jump_3,1536,1560,1580,1600,91,120,135,143,951.063,,
Cayenne_Jump_4,1480,1504,1520,1540,103,127,144,155,1311.493,,
Cayenne_Jump_5,1468,1492,1508,1528,84,117,127,136,897.89,,
Cayenne_Jump_6,1508,1536,1552,1572,89,118,134,162,1247.318,,
Chester_Jump_1,1830,1870,1920,1960,138,167,174,182,1442.346,,
Chester_Jump_2,1820,1860,1900,1940,130,161,170,179,3018.437,,
Chester_Jump_3,1590,1630,1670,1700,301,321,327,334,4319.656,,
Chester_Jump_4,1780,1820,1860,1900,116,138,161,171,3539.018,,
Chester_Jump_5,1750,1790,1840,1880,118,156,164,175,1764.107,,
Chester_Jump_6,1760,1810,1860,1900,126,152,173,184,2050.709,,
Delta_Jump_1,1860,1880,1900,1910,99,141,146,154,14344.697,,
Delta_Jump_2,1700,1740,1790,1820,113,144,151,161,2779.047,,
Delta_Jump_3,2380,2410,2440,2460,316,363,372,378,6458.195,,
Delta_Jump_4,2370,2400,2430,2450,123,157,164,173,8037.911,,
Delta_Jump_5,2360,2390,2420,2440,93,136,142,150,8235.926,,
Delta_Jump_6,1900,1940,1980,2010,110,135,155,164,13852.606,,
Derby_Jump_1,1710,1740,1770,1790,134,182,187,198,1004.752,,
Derby_Jump_2,1920,1950,1990,2010,139,168,190,201,5750.152,,
Derby_Jump_3,1840,1860,1880,1900,132,179,184,195,8589.51,,
Derby_Jump_4,1820,1860,1910,1950,129,182,188,197,1944.129,,
Derby_Jump_5,2260,2300,2340,2370,140,189,194,204,1178.683,,
Derby_Jump_6,2350,2390,2440,2480,165,209,214,224,2237.626,,
Dolphin_Jump_1,1380,1410,1450,1490,172,206,212,220,2205.317,,
Dolphin_Jump_2,1490,1530,1570,1610,392,418,423,435,4376.828,,
Dolphin_Jump_3,1410,1450,1490,1530,589,611,618,626,5223.283,,
Dolphin_Jump_4,1150,1190,1240,1280,189,234,238,248,2062.017,,
Dolphin_Jump_5,1310,1350,1390,1430,175,225,231,239,1077.145,,
Dolphin_Jump_6,1080,1120,1160,1200,192,239,244,253,1179.427,,
Goose_Jump_1,1735,1745,1755,1765,124,155,161,170,9585.116,,
Goose_Jump_2,2130,2145,2160,2170,87,132,151,160,1140.932,,
Goose_Jump_3,1570,1600,1630,1650,118,150,160,167,2807.727,,
Goose_Jump_4,1910,1940,1970,1990,78,134,142,151,1301.869,,
Goose_Jump_5,1640,1680,1710,1730,99,152,159,168,3513.742,,
Goose_Jump_6,1650,1680,1700,1720,92,143,150,159,2833.13,,
Izzy_Jump_1,980,1000,1040,1080,121,158,184,195,2540.4,,
Izzy_Jump_2,1410,1440,1480,1510,158,206,212,222,1256.219,,
Izzy_Jump_3,1350,1380,1430,1470,183,213,219,229,931.337,,
Izzy_Jump_4,1440,1470,1490,1510,396,407,412,421,-89.171,,
Izzy_Jump_5,1430,1470,1510,1540,149,197,203,213,2307.923,,
Izzy_Jump_6,1450,1490,1530,1570,118,163,170,179,7318.041,,
Jax_Jump_1,2390,2430,2470,2500,79,147,154,163,1774.83,,
Jax_Jump_2,1930,1970,2020,2060,83,156,175,202,1313.235,,
Jax_Jump_3,4180,4210,4230,4250,105,152,163,172,4404.871,,
Jax_Jump_4,1980,2020,2080,2140,99,126,134,137,4409.101,,
Jax_Jump_5,1760,1800,1860,1910,113,162,168,177,2812.384,,
Jax_Jump_6,1900,1950,2030,2100,27,42,49,83,1971.239,,
Jyn_Jump_1,2200,2240,2290,2330,88,121,141,155,7672.897,,
Jyn_Jump_2,1670,1710,1750,1770,90,122,130,166,3621.652,,
Jyn_Jump_3,2220,2260,2290,2300,92,126,135,155,3186.173,,
Jyn_Jump_4,1730,1780,1840,1860,92,123,144,158,2829.265,,
Jyn_Jump_5,2040,2080,2160,2200,449,492,498,508,8446.192,,
Jyn_Jump_6,1900,1950,2020,2080,78,106,125,138,4994.557,,
Kahlua_Jump_1,2810,2850,2890,2910,132,166,172,182,4921.969,,
Kahlua_Jump_2,1850,1890,1940,1980,125,162,167,176,2171.331,,
Kahlua_Jump_3,1760,1790,1820,1840,111,147,153,161,5053.458,,
Kahlua_Jump_4,1330,1370,1420,1450,115,151,157,167,927.924,,
Kahlua_Jump_5,1550,1590,1640,1680,125,159,164,173,2357.497,,
Kahlua_Jump_6,1460,1500,1550,1590,125,161,166,176,2146.885,,
Nico_Jump_1,2060,2090,2140,2160,151,167,175,183,1327.579,,
Nico_Jump_2,4550,4590,4640,4670,149,172,180,189,2283.265,,
Nico_Jump_3,1720,1760,1810,1840,137,178,187,197,3408.697,,
Nico_Jump_4,1340,1380,1430,1450,151,184,200,210,3192.62,,
Nico_Jump_5,1150,1190,1230,1240,138,179,185,195,97097.507,,
Nico_Jump_6,1870,1910,1960,2000,127,167,174,183,2869.205,,
Noodle_Jump_1,1230,1260,1300,1340,227,249,253,264,3132.447,,
Noodle_Jump_2,1550,1570,1600,1630,143,174,194,206,2048.0,,
Noodle_Jump_3,1890,1910,1950,1980,235,255,261,270,2731.013,,
Noodle_Jump_4,1550,1570,1610,1640,134,162,185,197,3416.489,,
Noodle_Jump_5,2090,2130,2180,2200,306,323,328,336,2319.016,,
Noodle_Jump_6,1800,1840,1900,1930,157,198,207,220,352.63,,
Pizza_Jump_1,1840,1900,1940,1990,1044,1087,1089,1102,3170.23,,
Pizza_Jump_2,1640,1700,1780,1820,896,943,947,958,2424.48,,
Pizza_Jump_3,1520,1580,1640,1700,202,524,527,571,-2346.588,,
Pizza_Jump_4,1580,1640,1800,1860,354,559,742,819,-754.575,,
Pizza_Jump_5,1500,1560,1700,1760,770,874,878,889,1890.08,,
Pizza_Jump_6,1560,1620,1740,1800,609,723,862,919,1133.366,,
Raina_Jump_1,2400,2460,2540,2620,150,187,195,212,40723.511,,
Raina_Jump_2,1180,1260,1400,1460,151,183,188,198,9201.177,,
Raina_Jump_3,1680,1760,1860,1940,161,201,206,216,7357.301,,
Raina_Jump_4,1180,1260,1400,1460,149,189,194,203,3196.635,,
Raina_Jump_5,1700,1760,1880,1940,142,176,181,191,4400.675,,
Raina_Jump_6,1540,1600,1720,1760,155,193,199,208,2334.469,,
Raina_Jump_7,1560,1620,1740,1780,154,192,196,207,8954.195,,
Revv_Jump_1,1640,1760,1860,1940,97,145,152,162,7768.743,,
Revv_Jump_2,1580,1700,1800,1860,101,141,153,163,1791.202,,
Revv_Jump_3,1700,1820,1980,2060,103,140,154,166,1946.383,,
Revv_Jump_4,2400,2500,2540,2580,130,160,165,176,694.724,,
Revv_Jump_5,1460,1580,1760,1840,123,149,156,166,4068.819,,
Revv_Jump_6,2460,2580,2840,2900,100,148,154,164,2328.232,,
Rockett_Jump_2,1500,1580,1720,1760,351,371,377,387,3681.659,,
Rockett_Jump_3,1520,1600,1680,1720,160,196,201,210,1283.335,,
Rockett_Jump_4,1400,1460,1500,1520,165,203,208,218,1949.497,,
Rockett_Jump_5,1460,1540,1700,1760,152,185,189,199,2524.416,,
Rockett_Jump_6,1460,1540,1700,1760,154,190,194,203,237.507,,
Rockett_Jump_7,960,1040,1200,1280,598,616,636,662,5074.648,,
Rumchata_Jump_1,2680,2710,2740,2760,312,335,339,349,12656.469,,
Rumchata_Jump_2,2560,2660,2820,2880,84,171,177,187,3430.911,,
Rumchata_Jump_4,1540,1600,1740,1780,146,183,188,198,1922.851,,
Rumchata_Jump_5,1520,1600,1860,1940,146,180,185,195,4034.733,,
Rumchata_Jump_6,1520,1600,1860,1960,149,185,190,199,5467.55,,
Rumchata_Jump_7,2440,2500,2620,2680,148,185,190,199,1301.413,,
Sass_Jump_1,3120,3160,3200,3230,176,210,215,225,2474.305,2537.0,-62.695
Sass_Jump_2,3120,3160,3200,3230,144,178,184,193,2804.992,2955.0,-150.008
Tigger_Jump_1,1506,1556,1612,1632,264,292,296,306,-3553.853,27194.0,-30747.853
Tigger_Jump_2,1288,1312,1389,1411,1510,1521,1525,1548,29107.187,2657.0,26450.187
Tigger_Jump_3,1170,1244,1310,1332,41,80,128,159,-4154.562,2955.0,-7109.562
