Folder,Strategy,Video_About_Frame,Video_Stepped_Frame,Video_HindLeave_Frame,Video_LowestPoint_Frame,Video_About_Time_ms,Video_Stepped_Time_ms,Video_HindLeave_Time_ms,Video_LowestPoint_Time_ms,IMU_About_Index,IMU_Stepped_Index,IMU_HindLeave_Index,IMU_LowestPoint_Index,IMU_About_Time_ms,IMU_Stepped_Time_ms,IMU_HindLeave_Time_ms,IMU_LowestPoint_Time_ms,Offset_ms,Ground_Truth_Offset_ms,Error_vs_GT_ms
Arya_Teeter_1,small,1890.0,1940.0,1960.0,,7875.0,8083.3,8166.7,,361.0,376.0,392.0,,9375.947,9556.39,9703.031,,1503.456,,
Arya_Teeter_2,small,1360.0,1430.0,1460.0,,5666.7,5958.3,6083.3,,493.0,515.0,527.0,,12825.009,13044.551,13172.353,,7111.193,,
Arya_Teeter_3,small,2060.0,2090.0,2120.0,,8583.3,8708.3,8833.3,,397.0,415.0,427.0,,9696.681,9876.528,10002.623,,1150.277,,
Arya_Teeter_5,small,500.0,530.0,560.0,,2083.3,2208.3,2333.3,,331.0,357.0,373.0,,13713.063,13985.732,14152.897,,11742.231,,
Sass_Teeter_1,large,,,,2310.0,,,,9625.0,,,,326.0,,,,24632.746,15007.746,15313.000,-305.254
Sass_Teeter_2,large,,,,1830.0,,,,7625.0,,,,310.0,,,,11609.864,3984.864,3552.000,432.864
Sass_Teeter_3,large,,,,1390.0,,,,5791.7,,,,273.0,,,,15110.603,9318.936,8328.000,990.936
Sass_Teeter_4,large,,,,1910.0,,,,7958.3,,,,421.0,,,,15065.091,7106.758,5403.000,1703.758
Tigger_Teeter_1,large,,,,1820.0,,,,7583.3,,,,268.0,,,,14224.125,6640.792,6179.000,461.792
Tigger_Teeter_2,large,,,,1600.0,,,,6666.7,,,,259.0,,,,11094.625,4427.958,4328.000,99.958
Tigger_Teeter_3,large,,,,1590.0,,,,6625.0,,,,237.0,,,,13378.627,6753.627,6776.000,-22.373
Tigger_Teeter_4,large,,,,1390.0,,,,5791.7,,,,208.0,,,,11285.882,5494.215,5403.000,91.215
Vivi_Teeter_1,small,1940.0,1990.0,2020.0,,8083.3,8291.7,8416.7,,225.0,267.0,280.0,,9318.977,9757.74,9898.354,,1394.468,1547.000,-152.532
Vivi_Teeter_2,small,1110.0,1140.0,1190.0,,4625.0,4750.0,4958.3,,253.0,282.0,305.0,,11730.705,12033.688,12276.243,,7235.768,7492.000,-256.232
Vivi_Teeter_3,small,1000.0,1020.0,1040.0,,4166.7,4250.0,4333.3,,499.0,509.0,520.0,,9556.026,9660.876,9775.115,,5414.005,1972.000,3442.005
Vivi_Teeter_4,small,1000.0,1020.0,1040.0,,4166.7,4250.0,4333.3,,307.0,314.0,326.0,,6986.688,7061.03,7186.258,,2827.992,1001.000,1826.992
Zazu_Teeter_1,large,,,,2260.0,,,,9416.7,,,,244.0,,,,12816.688,3400.022,3373.000,27.022
Zazu_Teeter_2,large,,,,1600.0,,,,6666.7,,,,216.0,,,,7295.935,629.268,627.000,2.268
Zazu_Teeter_3,large,,,,1860.0,,,,7750.0,,,,230.0,,,,10385.005,2635.005,1582.000,1053.005
Zazu_Teeter_4,large,,,,1780.0,,,,7416.7,,,,333.0,,,,11441.356,4024.689,3134.000,890.689
