Repetition,idx_start,idx_end,trim_start_time_s,trim_end_time_s,total_rows,trimmed_rows
Aeros_Flat_1,2089,3256,21.8618,34.0488,3257,1168
Aeros_Flat_2,845,1685,8.8049,17.5342,1686,841
Aeros_Flat_3,990,1597,10.3541,16.6698,1598,608
Aeros_Flat_4,685,1234,7.1353,12.8712,1235,550
Aeros_Flat_5,603,1807,6.3148,18.865,2096,1205
Aeros_Flat_6,603,1367,6.28,14.236,1368,765
Aeros_Flat_7,603,1084,6.3515,11.3695,1085,482
Aeros_Jump_1,1122,1618,11.6935,16.8688,1619,497
Aeros_Jump_2,1807,2318,18.8233,24.151,2319,512
Aeros_Jump_5,1279,1847,13.3147,19.2367,1848,569
Aeros_Jump_6,752,1354,7.8449,14.1316,1356,603
Aeros_Jump_7,439,1041,4.5925,10.8622,2084,603
Aeros_Teeter_1,687,1244,7.1886,13.01,1245,558
Aeros_Teeter_2,1161,1845,12.1473,19.2852,1846,685
Aeros_Teeter_3,472,1286,4.9127,13.4024,1287,815
Aeros_Teeter_4,577,812,6.0143,8.4705,813,236
Aeros_Tunnel_1,230,1014,2.383,10.5007,1015,785
Aeros_Tunnel_2,430,1765,4.4677,18.3157,1766,1336
Aeros_Tunnel_3,338,800,3.4891,8.2726,801,463
Aeros_Tunnel_4,521,988,5.4008,10.2356,989,468
Aeros_Weaves_1,485,1769,5.0352,18.3404,1770,1285
Aeros_Weaves_2,170,1003,1.7626,10.4032,1004,834
Aeros_Weaves_3,2988,3857,40.6791,49.7121,3858,870
Arya_Aframe_1,509,983,3.551,8.5378,984,475
Arya_Aframe_2,726,1163,5.7318,10.3305,1164,438
Arya_Aframe_3,525,1050,3.6109,9.1261,1051,526
Arya_Aframe_4,808,1295,6.5645,11.6784,1296,488
Arya_Dogwalk_1,512,1149,5.4116,12.1101,1150,638
Arya_Dogwalk_2,509,1104,5.0734,11.3673,1105,596
Arya_Dogwalk_3,563,1231,6.1782,13.1755,1232,669
Arya_Dogwalk_4,680,1427,7.1303,14.9772,1428,748
Arya_Flat_1,2909,3336,30.6521,35.1338,3337,428
Arya_Flat_2,1252,1727,13.1653,18.1546,1728,476
Arya_Flat_3,1129,1556,11.8848,16.3783,1557,428
Arya_Flat_4,1137,1775,11.9621,18.6733,1776,639
Arya_Flat_5,616,1185,6.4914,12.4981,1186,570
Arya_Flat_6,490,966,5.1675,10.1648,967,477
Arya_Jump_1,756,1158,7.9373,12.1602,1159,403
Arya_Jump_2,1092,1511,11.5211,15.9189,1512,420
Arya_Jump_3,1122,1523,11.8153,16.0278,1524,402
Arya_Jump_4,655,1135,6.8869,11.9279,1136,481
Arya_Jump_5,674,1095,7.1191,11.5409,1096,422
Arya_Jump_6,698,1182,7.3599,12.4424,1183,485
Arya_Teeter_1,529,1120,5.5869,11.7919,1121,592
Arya_Teeter_2,728,1575,7.6416,16.5307,1576,848
Arya_Teeter_3,507,1237,5.7156,13.1902,1238,731
Arya_Teeter_5,969,1547,10.2379,16.3069,1548,579
Arya_Tunnel_1,486,968,3.2641,8.3257,969,483
Arya_Tunnel_2,822,1325,6.7773,12.0603,1326,504
Arya_Tunnel_3,755,1165,6.0524,10.3576,1166,411
Arya_Tunnel_4,399,864,2.3697,7.2621,865,466
Arya_Weaves_1,554,1677,3.9017,15.704,1678,1124
Arya_Weaves_2,527,1161,3.6504,10.3074,1162,635
Arya_Weaves_3,637,1297,4.7419,11.6946,1298,661
Cayenne_Aframe_1,1565,2075,16.2944,21.6155,2076,511
